"","artist.name","title","song.hotttnesss","artist.familiarity","sa.hf","youtube","artist.longitude","artist.latitude"
"49","Britney Spears feat. Pharrell Williams","Boys",0.563246899280654,0.153605548145432,3.66683955157258,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Britney Spears feat. Pharrell Williams Boys\"" frameborder=\""0\"" allowfullscreen></iframe>",241.75468,34.05349
"112","The Lord Weird Slough Feg","Beast In the Broch",0.542035896749067,0.507016080718629,1.06907042471079,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Lord Weird Slough Feg Beast In the Broch\"" frameborder=\""0\"" allowfullscreen></iframe>",237.57995,37.77916
"114","The Lord Weird Slough Feg","Baltech's Lament",0.556914018700354,0.507016080718629,1.09841490216839,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Lord Weird Slough Feg Baltech's Lament\"" frameborder=\""0\"" allowfullscreen></iframe>",237.57995,37.77916
"202","Mouth Of The Architect","Harboring An Apparition",0.690970954280596,0.582034795953404,1.18716433980334,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Mouth Of The Architect Harboring An Apparition\"" frameborder=\""0\"" allowfullscreen></iframe>",275.80556,39.75911
"243","Gene Pitney","Every Breath I Take",0.732924130048343,0.556410013089321,1.31723749178951,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Gene Pitney Every Breath I Take\"" frameborder=\""0\"" allowfullscreen></iframe>",287.32593,41.76332
"255","Agnostic Front","Come Alive",0.704649755854372,0.701441758982413,1.00457343297698,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Agnostic Front Come Alive\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"271","Marvin Hamlisch","Ride To Atlantis",0.58275602626139,0.492199331333622,1.18398378291658,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Marvin Hamlisch Ride To Atlantis\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"273","Marvin Hamlisch","Anya",0.548842617563788,0.492199331333622,1.11508200565143,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Marvin Hamlisch Anya\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"338","Rhian Benson","Say How I Feel",0.576399981255411,0.491835959058383,1.17193542001062,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Rhian Benson Say How I Feel\"" frameborder=\""0\"" allowfullscreen></iframe>",358.96818,7.95501
"401","Ricardo Lemvo","Yiri Yiri Bon",0.468333834974025,0.424849475019799,1.10235239187291,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Ricardo Lemvo Yiri Yiri Bon\"" frameborder=\""0\"" allowfullscreen></iframe>",264.63022,29.76045
